global_round,accuracy
1,29.968679705345824
2,37.962520829030936
3,41.58051355051795
4,49.35368763790056
5,58.295303458712034
6,63.73259720523213
7,67.18465207921408
8,70.06353155020597
9,71.9657788848654
10,73.19733469431064
11,74.39641401340431
12,75.06582833991618
13,75.68973583564095
14,76.0714756604605
15,76.38286891064577
16,76.70369116705899
17,77.04374059058948
18,77.25776308249628
19,77.54022361755605
20,77.7100011374726
21,77.81819183271192
22,77.90187190343218
23,77.86852632776261
24,77.90158327813806
25,77.8952360913297
26,77.87134456669737
27,77.89731612512479
28,77.88511607724419
29,77.83398736570926
30,77.80239591159472
31,77.66536203130953
32,77.69469798858502
33,77.6866555209526
34,77.82530283631507
35,77.88849747280719
36,77.91698545687073
37,77.94291639081484
38,77.99613801247962
39,77.95632363642336
40,77.92086064551393
41,77.96277209624817
42,77.89844908396168
43,77.92166991811384
44,77.92212223416769
45,77.88127112056986
46,77.77809109786413
47,77.77940802184423
48,77.75552224945633
49,77.74209838380722
50,77.74675532052927
